globaltag = DES19_62_V8::All
HcalTopologyIdealEP::HcalTopologyIdealEP
======================== Opening output file
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 18-Feb-2014 20:02:57.056 CET
RPCGeometryESModule :: produce
RPCGeometryESModule :: produce :: 1/4 Get Muon Ideal Geometry Record
%MSG-e Specific:  RPCTiming:timing 18-Feb-2014 20:02:59 CET Run: 1 Event: 1
Could not process q-name of a DDLogicalPart, reason:
No regex-match for namespace=  name=HFFibre.*

SpecPar selection is:
//HFFibre.*

%MSG
RPCGeometryESModule :: produce :: 2/4 Get Muon DDD Constants
RPCGeometryESModule :: produce :: 3/4 Get Muon Numbering Record
in MuonNumberingInitialization::initializeMuonDDDConstants
about to make my new muonDDDConst_
in MuonNumberingInitialization::produce
RPCGeometryESModule :: produce :: 4/4 Build
RPCDetId: 637633229 W-2_RB3-_S06_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637637325 W-2_RB3+_S06_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637567821 W-2_RB3-_S07_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637571917 W-2_RB3+_S07_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637633357 W-2_RB3-_S07_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637637453 W-2_RB3+_S07_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637567949 W-2_RB3-_S08_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637572045 W-2_RB3+_S08_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637633485 W-2_RB3-_S08_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637637581 W-2_RB3+_S08_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637568077 W-2_RB3-_S09_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637572173 W-2_RB3+_S09_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637633613 W-2_RB3-_S09_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637637709 W-2_RB3+_S09_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637568205 W-2_RB3-_S10_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637572301 W-2_RB3+_S10_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637633741 W-2_RB3-_S10_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637637837 W-2_RB3+_S10_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637568333 W-2_RB3-_S11_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637572429 W-2_RB3+_S11_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637633869 W-2_RB3-_S11_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637637965 W-2_RB3+_S11_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637568461 W-2_RB3-_S12_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637572557 W-2_RB3+_S12_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637633997 W-2_RB3-_S12_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637638093 W-2_RB3+_S12_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637567085 W-2_RB4-_S01_Backward R: 730.164 cm | striplength: 116.9 cm | stripwidth: 4.125 cm
RPCDetId: 637571181 W-2_RB4+_S01_Backward R: 704.599 cm | striplength: 116.9 cm | stripwidth: 4.125 cm
RPCDetId: 637632621 W-2_RB4-_S01_Forward R: 730.164 cm | striplength: 125.2 cm | stripwidth: 4.125 cm
RPCDetId: 637636717 W-2_RB4+_S01_Forward R: 704.599 cm | striplength: 125.2 cm | stripwidth: 4.125 cm
RPCDetId: 637567213 W-2_RB4-_S02_Backward R: 730.164 cm | striplength: 116.9 cm | stripwidth: 4.125 cm
RPCDetId: 637571309 W-2_RB4+_S02_Backward R: 704.599 cm | striplength: 116.9 cm | stripwidth: 4.125 cm
RPCDetId: 637632749 W-2_RB4-_S02_Forward R: 730.164 cm | striplength: 125.2 cm | stripwidth: 4.125 cm
RPCDetId: 637636845 W-2_RB4+_S02_Forward R: 704.599 cm | striplength: 125.2 cm | stripwidth: 4.125 cm
RPCDetId: 637567341 W-2_RB4-_S03_Backward R: 730.164 cm | striplength: 116.9 cm | stripwidth: 4.125 cm
RPCDetId: 637571437 W-2_RB4+_S03_Backward R: 704.599 cm | striplength: 116.9 cm | stripwidth: 4.125 cm
RPCDetId: 637632877 W-2_RB4-_S03_Forward R: 730.164 cm | striplength: 125.2 cm | stripwidth: 4.125 cm
RPCDetId: 637636973 W-2_RB4+_S03_Forward R: 704.599 cm | striplength: 125.2 cm | stripwidth: 4.125 cm
RPCDetId: 637567469 W-2_RB4--_S04_Backward R: 742.946 cm | striplength: 116.9 cm | stripwidth: 4.11111 cm
RPCDetId: 637571565 W-2_RB4-_S04_Backward R: 709.749 cm | striplength: 116.9 cm | stripwidth: 4.11111 cm
RPCDetId: 637633005 W-2_RB4--_S04_Forward R: 742.946 cm | striplength: 125.2 cm | stripwidth: 4.11111 cm
RPCDetId: 637637101 W-2_RB4-_S04_Forward R: 709.749 cm | striplength: 125.2 cm | stripwidth: 4.11111 cm
RPCDetId: 637575661 W-2_RB4+_S04_Backward R: 709.749 cm | striplength: 116.9 cm | stripwidth: 4.11111 cm
RPCDetId: 637579757 W-2_RB4++_S04_Backward R: 742.946 cm | striplength: 116.9 cm | stripwidth: 4.11111 cm
RPCDetId: 637641197 W-2_RB4+_S04_Forward R: 709.749 cm | striplength: 125.2 cm | stripwidth: 4.11111 cm
RPCDetId: 637645293 W-2_RB4++_S04_Forward R: 742.946 cm | striplength: 125.2 cm | stripwidth: 4.11111 cm
RPCDetId: 637567597 W-2_RB4-_S05_Backward R: 704.599 cm | striplength: 116.9 cm | stripwidth: 4.125 cm
RPCDetId: 637571693 W-2_RB4+_S05_Backward R: 730.164 cm | striplength: 116.9 cm | stripwidth: 4.125 cm
